Escola Secundária Damião de Goes,Alenquer
Escola Básica e Secundária D. João V,Amadora
Escola Básica e Secundária de Mães D´Água,Amadora
Escola Básica e Secundária Dr. Azevedo Neves,Amadora
Escola Profissional Gustave Eiffel,Amadora
Escola Secundária da Amadora,Amadora
Escola Secundária Fernando Namora,Amadora
Escola Secundária Seomara da Costa Primo,Amadora
Escola Profissional Gustave Eiffel - Pólo de Arruda dos Vinhos,Arruda dos Vinhos
Externato João Alberto Faria,Arruda dos Vinhos
Escola Secundária da Azambuja,Azambuja
Escola Básica e Secundária do Cadaval,Cadaval
Colégio Maristas de Carcavelos,Cascais
Escola Básica e Secundária da Cidadela,Cascais
Escola Básica e Secundária de Alvide,Cascais
Escola Básica e Secundária de Carcavelos,Cascais
Escola Básica e Secundária Frei Gonçalo de Azevedo,Cascais
Escola Básica e Secundária Ibn Mucana,Cascais
Escola Básica e Secundária Matilde Rosa Araújo,Cascais
Escola de Hotelaria e Turismo,Cascais
Escola Profissional de Teatro de Cascais,Cascais
Escola Profissional Val do Rio,Cascais
Escola Salesiana do Estoril,Cascais
Escola Salesianos de Manique,Cascais
Escola Secundária de Cascais,Cascais
Escola Secundária de São João do Estoril,Cascais
Escola Secundária Fernando Lopes Graça,Cascais
St. Julian’s School - Colégio Inglês de São Julião,Cascais
"EPAD - Escola Profissional de Artes, Tecnologias e Desporto",Lisboa
EPCI - Escola Profissional de Comunicação e Imagem,Lisboa
EPET - Escola Profissional de Estudos Técnicos,Lisboa
Escola Artística António Arroio,Lisboa
Escola Artística de Dança do Conservatório Nacional,Lisboa
Escola Artística de Música do Conservatório Nacional,Lisboa
Escola Artística do Instituto Gregoriano de Lisboa,Lisboa
Escola Básica e Secundária D. Filipa de Lencastre,Lisboa
Escola Básica e Secundária Gil Vicente,Lisboa
Escola Básica e Secundária Josefa de Óbidos,Lisboa
Escola Básica e Secundária Passos Manuel,Lisboa
Escola de Comércio de Lisboa,Lisboa
Escola Profissional Agostinho Roseta,Lisboa
Escola Profissional Almirante Domingos Tasso de Figueiredo,Lisboa
Escola Profissional Almirante Reis,Lisboa
Escola Profissional Bento de Jesus Caraça,Lisboa
Escola Profissional CEFAD,Lisboa
Escola Profissional de Agentes de Serviço e Apoio Social,Lisboa
Escola Profissional de Artes e Ofícios do Espetáculo,Lisboa
Escola Profissional de Ciências Geográficas,Lisboa
Escola Profissional de Hotelaria e Turismo de Lisboa,Lisboa
Escola Profissional de Imagem,Lisboa
Escola Profissional de Pedagogia Social,Lisboa
Escola Profissional Gustave Eiffel - Polo do Lumiar,Lisboa
Escola Profissional Magestil,Lisboa
Escola Profissional Metropolitana,Lisboa
Escola Profissional Tecnologia Digital,Lisboa
Escola Secundária António Damásio,Lisboa
Escola Secundária D. Dinis,Lisboa
Escola Secundária D. Luísa de Gusmão,Lisboa
Escola Secundária D. Pedro V,Lisboa
