DATA	MARCO/EVENTO	Âmbito	Descrição	Tipo	Link
2022-12-15	Comemoração do Cinquentenário	Iscte			perguntar Hugo porquê aparece uma foto se ainda não aconteceu
2022-12-15	Tomada de posse do diretor da Escola de Tecnologias Digitais, Economia e Sociedade (Iscte Sintra)	Iscte			
2022-07-08	Homenagem parlamentar ao professor João Ferreira de Almeida (1941-2022)	Nacional			
2022-04-03	Corrida e caminhada comemorativas do Cinquentenário	Iscte			
2022-03-30	Helena Carreiras ministra da Defesa	Iscte			
2022-03-30	Pedro Adão e Silva ministro da Cultura	Iscte			
2022-03-08	Maria de Lurdes Rodrigues, reitora, segundo mandato	Iscte			
2022-03-08	Plantação de Árvore da Vida (thuji occidentalis) pelos 50 anos	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163383/in/album-72177720298221622/
2022-03-03	Início da construção do CVTT (Centro de Valorização e Transferência de Tecnologias)	Iscte			
2022-03-01	Desmaterialização dos requerimentos académicos	Iscte			
2022-02-24	Rússia invade Ucrânia	Internacional			
2021-12-07	José António Pinto Ribeiro presidente do Conselho de Curadores	Iscte			
2021-11-26	Escola de Tecnologias Digitais, Economia e Sociedade (Iscte Sintra)	Iscte			
2021-11-14	Claque ISCTE (925 participantes) no jogo da seleção portuguesa contra a seleção sérvia	Iscte			
2021-10-31	Cimeira sobre as alterações climáticas (COP26), Glasgow	Internacional			
2021-09-30	Número de discentes: 11073	Iscte			
2021-08-31	Retirada militar norte-americana do Afeganistão	Internacional			
2021-07-19	Júlio Pedrosa reeleito presidente do Conselho Geral	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115246/in/album-72177720298221622/
2021-07-13	Joana Alexandre reeleita presidente do Conselho Pedagógico	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163553/in/album-72177720298221622/
2021-07-07	Homologação do Relatório de Atividades e de Gestão (fonte RIAG2020): Orçamento 44 M€ 	Iscte			
2021-06-30	Descontinuação da Plataforma nacional de ciência e tecnologia DeGóis	Nacional			
2021-05-06	Município de Sintra cede terreno para a quinta escola do Iscte	Iscte			
2021-04-20	Testes COVID em parceria com a Cruz Vermelha Portuguesa	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015366049/in/album-72177720298221622/
2021-03-18	Maria Luísa Lima reeleita presidente do Conselho Científico	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163623/in/album-72177720298221622/
2021-02-03	Remodelação do ex-edifício IMT	Iscte			
2021-01-31	Reino Unido sai da União Europeia	Internacional			
2021-01-01	Laboratório associado Sociodigital Lab for Public Policy	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163063/in/album-72177720298221622/
2020-12-21	EMA aprova vacina contra a Covid_19, Comirnaty, laboratórios BioNTech e Pfizer	Internacional			
2020-12-17	Certificação de Responsabilidade Social (NP 4469:2019)	Iscte			
2020-12-15	Atribuída a Ordem da Instrução Pública	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015163643/in/album-72177720298221622/
2020-12-15	Honoris causa atribuído a António Correira de Campos	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015115356/in/album-72177720298221622/
2020-12-15	Honoris causa atribuído a José Pacheco Pereira	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52015631215/in/album-72177720298221622/
2020-12-15	Honoris causa atribuído a Nuno Portas	Iscte		imagem	https://www.flickr.com/photos/iscteiul/52014087177/in/album-72177720298221622/
2020-11-24	Açores: primeiro governo regional de coligação	Nacional			
2020-10-16	Matricula-se estudante nº 100000	Iscte			
2020-10-02	Observatório do Emprego Jovem (Refª. UIDP/0317/2020)	Nacional			
2020-09-30	Número de discentes: 11214	Iscte			
2020-09-15	Atividade letiva em ambiente híbrido 	Iscte			
2020-07-21	Homologação do Relatório de Atividades e de Gestão (fonte RIAG2019): Orçamento 49 M€ 	Iscte			
2020-07-20	16th EASA Biennial Conference. Virtual Lisbon Conference	Internacional			
2020-06-15	João Leão ministro de Estado e das Finanças	Nacional			
2020-03-12	Devido ao confinamento inicia-se ensino não presencial e o teletrabalho	Iscte			
