DATA		MARCO / EVENTO	Âmbito	Tópico 1 	Tópico 2	Tópico 3
15/12/1972	TRUE	Criação de cursos; Decreto-Lei n.º 520/72. DR n.º 290/1972, Série 1 de 15 de Dezembro	Iscte	1972-1981	Ensino	
15/12/1972	TRUE	Instalações funcionam no Campo Grande 185. Decreto-Lei n.º 522/72, Diário do Governo n.º 290/1972, Série 1 de 15 de Dezembro	Iscte	1972-1981	Memória	
15/12/1972	TRUE	Licenciatura em Ciências do Trabalho; Decreto-Lei n.º 520/72 - DR n.º290/1972, Série 2 de 15 de Dezembro	Iscte	1972-1981	Ensino	Memória
15/12/1972	TRUE	 Licenciatura em Economia; Decreto-Lei n.º 520/72 - DR n.º290/1972, Série 2 de 15 de Dezembro	Iscte	1972-1981	Ensino	Memória
15/12/1972	TRUE	Licenciatura em Organização e Gestão de Empresas (OGE); Decreto-Lei n.º 520/72 - DR n.º290/1972, Série 2 de 15 de Dezembro	Iscte	1972-1981	Ensino	Memória
21/12/1972	TRUE	Matricula-se o estudante nº. 1 Abel dos Santos Alves	Iscte	1972-1981	Comunidade	Pessoas
1/01/1973	TRUE	CEE: adesão da Dinamarca, Irlanda, Reino Unido	Internacional	1972-1981		
3/02/1973	TRUE	Número de docentes: 12	Iscte	1972-1981	Comunidade	
11/08/1973	TRUE	Integração do ISCTE na Universidade Nova de Lisboa. Decreto-Lei n.º 402/73, Diário do Governo n.º 188/1973, Série 1 de 8 de Novembro	Iscte	1972-1981	Estatuto	
11/09/1973	TRUE	Chile: Derrube do governo de Salvador Allende	Internacional	1972-1981		
24/09/1973	TRUE	Guiné-Bissau: declaração unilateral de independência	Internacional	1972-1981		
30/09/1973	TRUE	Discentes: 942	Iscte	1972-1981	Comunidade	
31/12/1973	TRUE	 Henrique Martins de Carvalho (1919-1994) é diretor do ISCTE	Iscte	1972-1981	Comunidade	Pessoas
25/04/1974	TRUE	Portugal: Revolução dos Cravos	Nacional	1972-1981		
